경기일자,경기장,홈팀명,원정팀명,원정팀점수,홈팀점수,원정팀투수,홈팀투수,승리팀,승리팀점수
20251001,잠실,LG,NC,N/A,N/A,N/A,N/A,경기 전 취소,N/A
20251001,문학,SSG,한화,N/A,N/A,N/A,N/A,경기 전 취소,N/A
20251001,광주,KIA,KT,N/A,N/A,N/A,N/A,경기 전 취소,N/A
20250930,잠실,LG,두산,6,0,콜어빈,송승기,두산,6
20250930,대구,삼성,KIA,0,5,김태형,후라도,삼성,5
20250930,창원,NC,KT,4,9,고영표,구창모,NC,9
20250930,고척,키움,SSG,4,3,김건우,알칸타라,SSG,4
20250930,대전,한화,롯데,0,1,김원중,김서현,한화,1
20250929,문학,SSG,롯데,2,4,박진,앤더슨,SSG,4
20250929,광주,KIA,NC,13,4,로건,이의리,NC,13
20250929,대전,한화,LG,3,7,임찬규,조동욱,한화,7
20250928,잠실,두산,롯데,2,7,박세웅,곽빈,두산,7
20250928,광주,KIA,NC,N/A,N/A,N/A,N/A,경기 전 취소,N/A
20250928,고척,키움,삼성,4,2,이재익,김선기,삼성,4
20250928,대전,한화,LG,N/A,N/A,N/A,N/A,경기 전 취소,N/A
20250927,잠실,두산,SSG,6,2,김광현,최승용,SSG,6
20250927,광주,KIA,NC,2,1,김녹원,양현종,NC,2
20250927,대전,한화,LG,9,2,톨허스트,문동주,LG,9
20250926,잠실,두산,NC,3,0,라일리,제환유,NC,3
20250926,문학,SSG,KT,2,5,고영표,화이트,SSG,5
20250926,사직,롯데,삼성,9,10,김태훈,정철원,롯데,10
20250926,대전,한화,LG,1,4,치리노스,김범수,한화,4
